,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1569024000000,1.405,1.5557,1.29,1.3366,1004278.13,1569110399999,1420140.865077,4760,496467.74,708895.411439,0,2019-09-21,2019-09-21 23:59:59.999
1,1569110400000,1.3365,1.3365,1.2116,1.2549,431250.75,1569196799999,547794.279912,3165,186859.12,237919.399855,0,2019-09-22,2019-09-22 23:59:59.999
2,1569196800000,1.2517,1.42,1.1706,1.19,506197.23,1569283199999,648801.821112,3789,192115.66,246173.873436,0,2019-09-23,2019-09-23 23:59:59.999
3,1569283200000,1.2023,1.285,0.8001,0.9986,409007.11,1569369599999,462259.788598,3254,172515.92,199675.311484,0,2019-09-24,2019-09-24 23:59:59.999
4,1569369600000,0.9999,1.0398,0.85,0.9358,227625.9,1569455999999,209395.150453,2221,91872.84,85249.951056,0,2019-09-25,2019-09-25 23:59:59.999
5,1569456000000,0.9459,0.946,0.7872,0.8511,272240.72,1569542399999,237355.807874,2069,96368.0,84177.33325,0,2019-09-26,2019-09-26 23:59:59.999
6,1569542400000,0.8511,0.868,0.8,0.85,167293.17,1569628799999,137856.675651,1296,62818.38,52112.177182,0,2019-09-27,2019-09-27 23:59:59.999
7,1569628800000,0.85,0.906,0.8388,0.8705,180607.37,1569715199999,156896.82766,1716,87883.11,76564.373582,0,2019-09-28,2019-09-28 23:59:59.999
8,1569715200000,0.8705,1.0809,0.825,0.9326,371907.39,1569801599999,347170.296056,3862,170122.94,158997.111089,0,2019-09-29,2019-09-29 23:59:59.999
9,1569801600000,0.9326,0.9943,0.8504,0.9403,237095.95,1569887999999,216728.747228,2152,113838.29,104660.05993,0,2019-09-30,2019-09-30 23:59:59.999
10,1569888000000,0.9421,0.9716,0.8927,0.9015,151038.85,1569974399999,139287.415155,1967,45878.11,42333.414596,0,2019-10-01,2019-10-01 23:59:59.999
11,1569974400000,0.9015,0.9089,0.8603,0.9004,77081.1,1570060799999,68042.464144,1130,23348.86,20616.110708,0,2019-10-02,2019-10-02 23:59:59.999
12,1570060800000,0.8988,0.8989,0.8355,0.8519,111032.2,1570147199999,94865.309426,1298,26154.08,22404.189989,0,2019-10-03,2019-10-03 23:59:59.999
13,1570147200000,0.8581,0.8948,0.83,0.8528,105795.46,1570233599999,90926.284751,2405,53825.41,46244.696252,0,2019-10-04,2019-10-04 23:59:59.999
14,1570233600000,0.8502,0.875,0.8404,0.8604,77884.94,1570319999999,66674.620796,1955,25959.78,22250.21221,0,2019-10-05,2019-10-05 23:59:59.999
15,1570320000000,0.8653,0.8657,0.799,0.8005,141459.15,1570406399999,116314.149149,2171,44769.53,36812.051162,0,2019-10-06,2019-10-06 23:59:59.999
16,1570406400000,0.8012,0.85,0.7835,0.8388,102438.89,1570492799999,84123.009328,1954,43028.89,35509.757367,0,2019-10-07,2019-10-07 23:59:59.999
17,1570492800000,0.8324,0.8499,0.8143,0.8418,140494.96,1570579199999,116955.687008,1917,59190.14,49416.631984,0,2019-10-08,2019-10-08 23:59:59.999
18,1570579200000,0.8418,0.8865,0.8289,0.8708,231906.24,1570665599999,199889.585783,2998,84908.5,73173.218313,0,2019-10-09,2019-10-09 23:59:59.999
19,1570665600000,0.8708,0.8793,0.8,0.8176,196829.17,1570751999999,163903.303899,2649,92994.96,77624.347906,0,2019-10-10,2019-10-10 23:59:59.999
20,1570752000000,0.8176,0.8279,0.7601,0.7757,389989.23,1570838399999,307231.932941,3154,150080.04,118582.384226,0,2019-10-11,2019-10-11 23:59:59.999
21,1570838400000,0.7784,0.81,0.7722,0.7815,149092.91,1570924799999,117956.467851,2021,65345.66,51897.682186,0,2019-10-12,2019-10-12 23:59:59.999
22,1570924800000,0.7814,0.7941,0.745,0.7589,75494.6,1571011199999,58302.664103,874,28237.03,21787.107519,0,2019-10-13,2019-10-13 23:59:59.999
23,1571011200000,0.7533,0.7699,0.7182,0.7454,605716.4,1571097599999,450406.414285,3029,235207.12,175446.002842,0,2019-10-14,2019-10-14 23:59:59.999
24,1571097600000,0.7468,0.77,0.6768,0.69,335100.89,1571183999999,243495.057012,2141,120192.2,87687.777814,0,2019-10-15,2019-10-15 23:59:59.999
