open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1582675200000,0.02955000,0.02955000,0.01718000,0.02090000,137993294.70000000,1582761599999,2955642.92870400,9840,59972925.60000000,1296461.80353300,0,2020-02-26,2020-02-26 23:59:59.999
1582761600000,0.02076000,0.02350000,0.01900000,0.02028000,54270677.70000000,1582847999999,1175555.23974200,6292,22299263.80000000,483194.31007100,0,2020-02-27,2020-02-27 23:59:59.999
1582848000000,0.02028000,0.02089000,0.01739000,0.01940000,30201982.10000000,1582934399999,575390.97490500,3737,12525884.80000000,237877.14893100,0,2020-02-28,2020-02-28 23:59:59.999
1582934400000,0.01940000,0.02160000,0.01834000,0.01884000,14629572.20000000,1583020799999,279743.56076800,2625,6270122.70000000,120826.85836900,0,2020-02-29,2020-02-29 23:59:59.999
1583020800000,0.01885000,0.02099000,0.01829000,0.01906000,14742368.20000000,1583107199999,285331.87956600,2301,6619718.80000000,128632.74938900,0,2020-03-01,2020-03-01 23:59:59.999
1583107200000,0.01900000,0.02480000,0.01883000,0.02432000,35293025.00000000,1583193599999,772626.35011400,4959,14537117.60000000,319677.83353500,0,2020-03-02,2020-03-02 23:59:59.999
1583193600000,0.02432000,0.03231000,0.02341000,0.03092000,134384560.60000000,1583279999999,3768301.39057200,16391,58541342.80000000,1650494.21665500,0,2020-03-03,2020-03-03 23:59:59.999
1583280000000,0.03093000,0.03333000,0.02605000,0.02709000,82110700.00000000,1583366399999,2447883.80265000,11649,36918987.20000000,1108673.40256000,0,2020-03-04,2020-03-04 23:59:59.999
1583366400000,0.02710000,0.03779000,0.02605000,0.03395000,87932228.60000000,1583452799999,2773488.30952200,12164,39190987.70000000,1239659.30230000,0,2020-03-05,2020-03-05 23:59:59.999
1583452800000,0.03395000,0.03790000,0.03166000,0.03439000,92548294.10000000,1583539199999,3227878.03234100,14949,40299729.40000000,1406905.34791100,0,2020-03-06,2020-03-06 23:59:59.999
1583539200000,0.03430000,0.03846000,0.03191000,0.03469000,88607812.50000000,1583625599999,3134927.64009200,13959,36557996.20000000,1295836.44970900,0,2020-03-07,2020-03-07 23:59:59.999
1583625600000,0.03468000,0.03890000,0.03198000,0.03378000,96642213.90000000,1583711999999,3466750.56025600,14676,42465365.50000000,1529054.01550000,0,2020-03-08,2020-03-08 23:59:59.999
1583712000000,0.03378000,0.03616000,0.02909000,0.03017000,73155674.10000000,1583798399999,2317229.29176800,11798,28421753.50000000,894233.40316600,0,2020-03-09,2020-03-09 23:59:59.999
1583798400000,0.03016000,0.03261000,0.02785000,0.03082000,60921106.20000000,1583884799999,1858991.66090800,8986,26196919.70000000,800208.09949800,0,2020-03-10,2020-03-10 23:59:59.999
1583884800000,0.03083000,0.03164000,0.02531000,0.02700000,37175935.80000000,1583971199999,1057868.58066700,5200,14858859.10000000,421002.65499300,0,2020-03-11,2020-03-11 23:59:59.999
1583971200000,0.02710000,0.02725000,0.01040000,0.01200000,132578818.50000000,1584057599999,2393924.26026600,10248,50952148.20000000,915176.50530600,0,2020-03-12,2020-03-12 23:59:59.999
1584057600000,0.01200000,0.01753000,0.00850000,0.01590000,85135299.90000000,1584143999999,1185783.47198900,5229,33836170.50000000,473005.28047100,0,2020-03-13,2020-03-13 23:59:59.999
1584144000000,0.01600000,0.01700000,0.01330000,0.01415000,45300375.40000000,1584230399999,669526.35592100,4483,18830939.20000000,279342.75921600,0,2020-03-14,2020-03-14 23:59:59.999
1584230400000,0.01419000,0.01524000,0.01298000,0.01363000,51516656.70000000,1584316799999,729624.48475100,3834,18100288.00000000,258290.75694300,0,2020-03-15,2020-03-15 23:59:59.999
1584316800000,0.01363000,0.01370000,0.00960000,0.01127000,57012081.80000000,1584403199999,645605.14995300,3952,20405192.90000000,227607.60366200,0,2020-03-16,2020-03-16 23:59:59.999
1584403200000,0.01126000,0.01432000,0.01107000,0.01237000,37230483.70000000,1584489599999,481472.47949600,2818,15954139.00000000,207101.27292900,0,2020-03-17,2020-03-17 23:59:59.999
1584489600000,0.01230000,0.01300000,0.01111000,0.01221000,19953606.60000000,1584575999999,238650.48542500,1755,8273261.30000000,99085.22095100,0,2020-03-18,2020-03-18 23:59:59.999
1584576000000,0.01226000,0.01522000,0.01196000,0.01427000,56096785.70000000,1584662399999,779871.10729900,5091,26462494.70000000,368518.51605600,0,2020-03-19,2020-03-19 23:59:59.999
1584662400000,0.01427000,0.01918000,0.01346000,0.01501000,66921132.70000000,1584748799999,1052701.82944200,7652,32885284.90000000,519979.23373800,0,2020-03-20,2020-03-20 23:59:59.999
1584748800000,0.01507000,0.01563000,0.01325000,0.01436000,31345848.40000000,1584835199999,448963.19556100,2610,15537650.40000000,222538.10395300,0,2020-03-21,2020-03-21 23:59:59.999
1584835200000,0.01432000,0.01573000,0.01180000,0.01206000,32217227.40000000,1584921599999,438175.02295100,2828,14967364.60000000,205910.23078600,0,2020-03-22,2020-03-22 23:59:59.999
1584921600000,0.01209000,0.01383000,0.01160000,0.01371000,22444609.70000000,1585007999999,290697.33758000,1850,9883917.90000000,127078.15946300,0,2020-03-23,2020-03-23 23:59:59.999
1585008000000,0.01373000,0.01438000,0.01316000,0.01372000,12835044.60000000,1585094399999,176137.91542200,1128,6348813.10000000,87102.94250100,0,2020-03-24,2020-03-24 23:59:59.999
1585094400000,0.01382000,0.01750000,0.01316000,0.01615000,65867000.90000000,1585180799999,1026540.57378700,4829,28334978.10000000,444304.80308200,0,2020-03-25,2020-03-25 23:59:59.999
1585180800000,0.01620000,0.01773000,0.01510000,0.01579000,44131571.90000000,1585267199999,716352.20417100,4212,20216124.30000000,328042.85403900,0,2020-03-26,2020-03-26 23:59:59.999
1585267200000,0.01579000,0.01699000,0.01400000,0.01437000,21791590.90000000,1585353599999,344188.44158800,2260,7665144.60000000,122494.86485800,0,2020-03-27,2020-03-27 23:59:59.999
